Area Name,Area ID,Year,Age Group,Total,Male,Female,White Total,White Male,White Female,Black Total,Black Male,Black Female,AIAN Total,AIAN Male,AIAN Female,Asian Total,Asian Male,Asian Female,NHOPI Total,NHOPI Male,NHOPI Female,Two or More Races Total,Two or More Races Male,Two or More Races Female
Washington,53,2010,0-4,"439,657","225,088","214,569","330,767","169,310","161,457","20,206","10,407","9,799","10,593","5,522","5,071","29,772","15,230","14,542","4,014","2,046","1,968","44,305","22,573","21,732"
Washington,53,2010,5-9,"429,877","219,702","210,175","328,738","168,464","160,274","18,980","9,757","9,223","10,190","5,232","4,958","30,321","15,076","15,245","3,754","1,869","1,885","37,894","19,304","18,590"
Washington,53,2010,10-14,"438,233","224,717","213,516","341,109","175,465","165,644","19,289","9,929","9,360","10,439","5,413","5,026","28,676","14,330","14,346","3,835","1,954","1,881","34,885","17,626","17,259"
Washington,53,2010,15-19,"462,128","237,577","224,551","362,275","186,516","175,759","20,541","10,806","9,735","11,025","5,741","5,284","33,549","17,001","16,548","4,153","2,114","2,039","30,585","15,399","15,186"
Washington,53,2010,20-24,"461,512","238,131","223,381","365,196","188,806","176,390","21,312","11,743","9,569","10,502","5,489","5,013","36,759","18,425","18,334","4,361","2,231","2,130","23,382","11,437","11,945"
Washington,53,2010,25-29,"480,398","245,014","235,384","382,519","196,579","185,940","21,271","11,636","9,635","9,665","5,000","4,665","41,552","19,575","21,977","4,148","2,084","2,064","21,243","10,140","11,103"
Washington,53,2010,30-34,"453,383","229,863","223,520","361,019","184,376","176,643","19,617","10,705","8,912","8,843","4,530","4,313","42,240","19,613","22,627","3,688","1,865","1,823","17,976","8,774","9,202"
Washington,53,2010,35-39,"448,607","226,850","221,757","359,195","183,183","176,012","18,860","10,511","8,349","8,391","4,298","4,093","44,488","20,385","24,103","3,269","1,652","1,617","14,404","6,821","7,583"
Washington,53,2010,40-44,"459,698","232,587","227,111","378,837","193,018","185,819","18,680","10,529","8,151","8,196","4,161","4,035","39,042","17,635","21,407","2,837","1,445","1,392","12,106","5,799","6,307"
Washington,53,2010,45-49,"492,909","246,507","246,402","415,812","209,115","206,697","18,810","10,633","8,177","8,347","4,144","4,203","36,075","15,929","20,146","2,716","1,357","1,359","11,149","5,329","5,820"
Washington,53,2010,50-54,"495,296","245,997","249,299","425,246","212,340","212,906","17,353","9,849","7,504","7,837","3,783","4,054","32,654","14,139","18,515","2,305","1,152","1,153","9,901","4,734","5,167"
Washington,53,2010,55-59,"453,078","221,321","231,757","395,896","194,556","201,340","13,116","7,268","5,848","6,430","3,145","3,285","28,438","11,993","16,445","1,643",811,832,"7,555","3,548","4,007"
Washington,53,2010,60-64,"382,087","186,378","195,709","339,071","166,514","172,557","9,284","4,875","4,409","4,696","2,307","2,389","22,645","9,634","13,011","1,177",595,582,"5,214","2,453","2,761"
Washington,53,2010,65-69,"270,474","131,064","139,410","242,526","118,326","124,200","5,451","2,904","2,547","3,116","1,494","1,622","15,362","6,493","8,869",681,331,350,"3,338","1,516","1,822"
Washington,53,2010,70-74,"186,746","88,760","97,986","166,764","79,734","87,030","3,692","1,835","1,857","1,979",951,"1,028","11,726","5,038","6,688",446,202,244,"2,139","1,000","1,139"
Washington,53,2010,75-79,"142,068","64,325","77,743","128,290","58,723","69,567","2,556","1,189","1,367","1,206",522,684,"8,328","3,150","5,178",262,116,146,"1,426",625,801
Washington,53,2010,80-84,"111,118","45,743","65,375","102,085","42,446","59,639","1,754",710,"1,044",672,290,382,"5,603","1,888","3,715",136,57,79,868,352,516
Washington,53,2010,85+,"117,271","40,083","77,188","109,917","37,591","72,326","1,561",512,"1,049",522,166,356,"4,455","1,532","2,923",80,30,50,736,252,484
Washington,53,2010,Total,"6,724,540","3,349,707","3,374,833","5,535,262","2,765,062","2,770,200","252,333","135,798","116,535","122,649","62,188","60,461","491,685","227,066","264,619","43,505","21,911","21,594","279,106","137,682","141,424"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Adams,53001,2010,0-4,"2,015","1,071",944,"1,821",965,856,26,19,7,131,68,63,15,7,8,0,0,0,22,12,10
Adams,53001,2010,5-9,"1,811",924,887,"1,638",841,797,27,15,12,95,42,53,17,8,9,1,0,1,33,18,15
Adams,53001,2010,10-14,"1,647",831,816,"1,497",765,732,30,14,16,73,29,44,16,6,10,2,2,0,29,15,14
Adams,53001,2010,15-19,"1,649",907,742,"1,516",842,674,16,6,10,76,37,39,19,9,10,0,0,0,22,13,9
Adams,53001,2010,20-24,"1,261",664,597,"1,128",603,525,24,13,11,84,35,49,14,6,8,0,0,0,11,7,4
Adams,53001,2010,25-29,"1,242",612,630,"1,135",554,581,16,11,5,64,33,31,8,5,3,0,0,0,19,9,10
Adams,53001,2010,30-34,"1,256",627,629,"1,132",561,571,16,10,6,73,40,33,22,9,13,1,1,0,12,6,6
Adams,53001,2010,35-39,"1,144",587,557,"1,054",535,519,16,11,5,45,26,19,19,11,8,0,0,0,10,4,6
Adams,53001,2010,40-44,"1,055",553,502,984,515,469,10,6,4,37,19,18,12,6,6,0,0,0,12,7,5
Adams,53001,2010,45-49,"1,037",520,517,980,485,495,8,6,2,30,21,9,11,3,8,1,1,0,7,4,3
Adams,53001,2010,50-54,"1,003",488,515,964,468,496,10,6,4,11,2,9,7,4,3,0,0,0,11,8,3
Adams,53001,2010,55-59,957,489,468,927,473,454,6,3,3,9,8,1,7,3,4,0,0,0,8,2,6
Adams,53001,2010,60-64,736,345,391,715,333,382,0,0,0,9,5,4,7,3,4,2,1,1,3,3,0
Adams,53001,2010,65-69,599,328,271,588,320,268,1,1,0,3,2,1,3,3,0,0,0,0,4,2,2
Adams,53001,2010,70-74,449,220,229,437,213,224,1,1,0,5,2,3,3,1,2,0,0,0,3,3,0
Adams,53001,2010,75-79,336,157,179,336,157,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams,53001,2010,80-84,267,132,135,261,131,130,0,0,0,0,0,0,5,0,5,0,0,0,1,1,0
Adams,53001,2010,85+,264,89,175,258,86,172,0,0,0,1,0,1,4,2,2,0,0,0,1,1,0
Adams,53001,2010,Total,"18,728","9,544","9,184","17,371","8,847","8,524",207,122,85,746,369,377,189,86,103,7,5,2,208,115,93
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Asotin,53003,2010,0-4,"1,261",627,634,"1,137",566,571,4,3,1,26,14,12,7,3,4,1,1,0,86,40,46
Asotin,53003,2010,5-9,"1,335",660,675,"1,192",592,600,20,12,8,31,12,19,13,6,7,11,4,7,68,34,34
Asotin,53003,2010,10-14,"1,273",666,607,"1,186",630,556,10,5,5,23,5,18,6,4,2,1,0,1,47,22,25
Asotin,53003,2010,15-19,"1,395",713,682,"1,293",667,626,10,4,6,30,16,14,6,3,3,2,1,1,54,22,32
Asotin,53003,2010,20-24,"1,188",580,608,"1,116",545,571,6,4,2,23,9,14,6,2,4,3,3,0,34,17,17
Asotin,53003,2010,25-29,"1,245",571,674,"1,174",533,641,8,5,3,24,19,5,12,6,6,5,0,5,22,8,14
Asotin,53003,2010,30-34,"1,168",585,583,"1,100",546,554,4,1,3,17,10,7,10,5,5,2,1,1,35,22,13
Asotin,53003,2010,35-39,"1,096",536,560,"1,050",512,538,6,5,1,14,7,7,9,2,7,2,1,1,15,9,6
Asotin,53003,2010,40-44,"1,214",576,638,"1,156",550,606,3,2,1,23,8,15,12,6,6,1,0,1,19,10,9
Asotin,53003,2010,45-49,"1,536",744,792,"1,482",720,762,3,3,0,29,12,17,8,1,7,2,2,0,12,6,6
Asotin,53003,2010,50-54,"1,650",775,875,"1,597",755,842,7,3,4,17,9,8,7,3,4,1,0,1,21,5,16
Asotin,53003,2010,55-59,"1,613",794,819,"1,556",766,790,4,1,3,24,15,9,8,1,7,2,0,2,19,11,8
Asotin,53003,2010,60-64,"1,477",708,769,"1,441",693,748,4,3,1,13,6,7,8,1,7,2,1,1,9,4,5
Asotin,53003,2010,65-69,"1,267",614,653,"1,248",607,641,1,0,1,4,1,3,5,1,4,0,0,0,9,5,4
Asotin,53003,2010,70-74,"1,043",524,519,"1,026",517,509,1,1,0,6,3,3,2,0,2,2,1,1,6,2,4
Asotin,53003,2010,75-79,776,360,416,766,354,412,1,1,0,2,0,2,4,2,2,0,0,0,3,3,0
Asotin,53003,2010,80-84,570,238,332,563,236,327,1,1,0,2,0,2,1,0,1,1,1,0,2,0,2
Asotin,53003,2010,85+,516,182,334,508,180,328,2,0,2,2,0,2,1,0,1,1,0,1,2,2,0
Asotin,53003,2010,Total,"21,623","10,453","11,170","20,591","9,969","10,622",95,54,41,310,146,164,125,46,79,39,16,23,463,222,241
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Benton,53005,2010,0-4,"13,071","6,706","6,365","11,600","5,943","5,657",276,144,132,159,79,80,326,167,159,21,11,10,689,362,327
Benton,53005,2010,5-9,"13,081","6,743","6,338","11,636","6,059","5,577",240,124,116,165,83,82,357,150,207,35,17,18,648,310,338
Benton,53005,2010,10-14,"13,350","6,880","6,470","11,979","6,177","5,802",232,120,112,193,98,95,315,143,172,44,22,22,587,320,267
Benton,53005,2010,15-19,"12,914","6,642","6,272","11,669","5,987","5,682",237,128,109,180,104,76,323,157,166,42,19,23,463,247,216
Benton,53005,2010,20-24,"10,955","5,533","5,422","9,982","5,044","4,938",211,115,96,167,94,73,240,121,119,30,15,15,325,144,181
Benton,53005,2010,25-29,"11,972","6,097","5,875","11,014","5,641","5,373",199,120,79,135,72,63,308,128,180,23,15,8,293,121,172
Benton,53005,2010,30-34,"11,066","5,570","5,496","10,036","5,063","4,973",191,105,86,129,65,64,402,192,210,19,11,8,289,134,155
Benton,53005,2010,35-39,"10,672","5,362","5,310","9,700","4,890","4,810",200,109,91,142,66,76,426,203,223,15,8,7,189,86,103
Benton,53005,2010,40-44,"11,062","5,455","5,607","10,132","4,975","5,157",149,85,64,142,81,61,408,206,202,21,11,10,210,97,113
Benton,53005,2010,45-49,"12,443","6,119","6,324","11,560","5,685","5,875",158,90,68,144,73,71,401,180,221,14,7,7,166,84,82
Benton,53005,2010,50-54,"12,624","6,323","6,301","11,826","5,935","5,891",118,75,43,129,59,70,357,151,206,17,9,8,177,94,83
Benton,53005,2010,55-59,"11,759","5,913","5,846","11,103","5,590","5,513",107,59,48,115,65,50,285,121,164,12,6,6,137,72,65
Benton,53005,2010,60-64,"9,622","4,858","4,764","9,034","4,591","4,443",94,48,46,88,46,42,298,125,173,9,6,3,99,42,57
Benton,53005,2010,65-69,"6,787","3,332","3,455","6,434","3,150","3,284",44,27,17,46,24,22,192,100,92,8,4,4,63,27,36
Benton,53005,2010,70-74,"4,728","2,281","2,447","4,483","2,157","2,326",28,17,11,28,12,16,131,67,64,7,3,4,51,25,26
Benton,53005,2010,75-79,"3,546","1,576","1,970","3,401","1,514","1,887",19,7,12,16,7,9,77,33,44,3,2,1,30,13,17
Benton,53005,2010,80-84,"2,747","1,156","1,591","2,677","1,125","1,552",7,2,5,10,7,3,43,15,28,0,0,0,10,7,3
Benton,53005,2010,85+,"2,778",940,"1,838","2,715",919,"1,796",8,3,5,11,5,6,31,7,24,0,0,0,13,6,7
Benton,53005,2010,Total,"175,177","87,486","87,691","160,981","80,445","80,536","2,518","1,378","1,140","1,999","1,040",959,"4,920","2,266","2,654",320,166,154,"4,439","2,191","2,248"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Chelan,53007,2010,0-4,"4,915","2,577","2,338","4,539","2,373","2,166",31,12,19,105,55,50,46,22,24,16,8,8,178,107,71
Chelan,53007,2010,5-9,"4,864","2,517","2,347","4,495","2,309","2,186",33,19,14,105,58,47,57,28,29,7,3,4,167,100,67
Chelan,53007,2010,10-14,"5,072","2,554","2,518","4,710","2,373","2,337",33,18,15,114,59,55,47,15,32,11,9,2,157,80,77
Chelan,53007,2010,15-19,"5,202","2,668","2,534","4,834","2,469","2,365",36,22,14,112,61,51,53,30,23,15,9,6,152,77,75
Chelan,53007,2010,20-24,"4,260","2,239","2,021","3,966","2,079","1,887",27,15,12,95,52,43,54,31,23,13,9,4,105,53,52
Chelan,53007,2010,25-29,"4,309","2,229","2,080","4,050","2,100","1,950",23,12,11,98,50,48,42,19,23,6,4,2,90,44,46
Chelan,53007,2010,30-34,"4,098","2,058","2,040","3,860","1,947","1,913",33,19,14,87,40,47,45,17,28,6,2,4,67,33,34
Chelan,53007,2010,35-39,"4,082","2,004","2,078","3,819","1,882","1,937",28,16,12,88,37,51,61,27,34,10,7,3,76,35,41
Chelan,53007,2010,40-44,"4,291","2,151","2,140","4,069","2,053","2,016",16,7,9,68,34,34,51,21,30,13,5,8,74,31,43
Chelan,53007,2010,45-49,"5,034","2,487","2,547","4,763","2,358","2,405",33,26,7,89,47,42,48,18,30,23,10,13,78,28,50
Chelan,53007,2010,50-54,"5,523","2,699","2,824","5,320","2,603","2,717",17,14,3,60,24,36,55,15,40,11,8,3,60,35,25
Chelan,53007,2010,55-59,"5,214","2,627","2,587","5,020","2,532","2,488",18,11,7,65,34,31,34,16,18,7,2,5,70,32,38
Chelan,53007,2010,60-64,"4,414","2,205","2,209","4,306","2,162","2,144",5,4,1,36,18,18,26,8,18,4,3,1,37,10,27
Chelan,53007,2010,65-69,"3,237","1,588","1,649","3,162","1,548","1,614",3,3,0,28,17,11,21,11,10,1,1,0,22,8,14
Chelan,53007,2010,70-74,"2,582","1,272","1,310","2,531","1,246","1,285",2,0,2,19,11,8,12,5,7,1,0,1,17,10,7
Chelan,53007,2010,75-79,"1,961",927,"1,034","1,922",915,"1,007",1,0,1,6,1,5,10,4,6,2,0,2,20,7,13
Chelan,53007,2010,80-84,"1,562",658,904,"1,545",651,894,1,0,1,6,5,1,1,0,1,1,1,0,8,1,7
Chelan,53007,2010,85+,"1,833",670,"1,163","1,815",665,"1,150",1,1,0,3,0,3,4,2,2,0,0,0,10,2,8
Chelan,53007,2010,Total,"72,453","36,130","36,323","68,726","34,265","34,461",341,199,142,"1,184",603,581,667,289,378,147,81,66,"1,388",693,695
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clallam,53009,2010,0-4,"3,363","1,792","1,571","2,588","1,397","1,191",31,17,14,379,200,179,33,13,20,7,5,2,325,160,165
Clallam,53009,2010,5-9,"3,398","1,734","1,664","2,727","1,429","1,298",31,13,18,306,160,146,49,16,33,4,2,2,281,114,167
Clallam,53009,2010,10-14,"3,822","1,935","1,887","3,062","1,539","1,523",30,16,14,348,192,156,49,22,27,5,4,1,328,162,166
Clallam,53009,2010,15-19,"3,994","2,160","1,834","3,220","1,739","1,481",68,38,30,339,179,160,81,48,33,12,6,6,274,150,124
Clallam,53009,2010,20-24,"3,598","2,004","1,594","2,924","1,606","1,318",108,89,19,324,171,153,53,30,23,11,6,5,178,102,76
Clallam,53009,2010,25-29,"3,591","1,917","1,674","3,045","1,594","1,451",69,58,11,278,168,110,32,13,19,8,4,4,159,80,79
Clallam,53009,2010,30-34,"3,460","1,848","1,612","2,918","1,548","1,370",74,65,9,277,135,142,51,19,32,7,2,5,133,79,54
Clallam,53009,2010,35-39,"3,365","1,736","1,629","2,872","1,480","1,392",49,42,7,225,113,112,73,36,37,8,7,1,138,58,80
Clallam,53009,2010,40-44,"3,579","1,799","1,780","3,098","1,553","1,545",43,33,10,237,126,111,85,34,51,7,1,6,109,52,57
Clallam,53009,2010,45-49,"4,497","2,165","2,332","4,003","1,916","2,087",40,32,8,246,122,124,80,27,53,6,4,2,122,64,58
Clallam,53009,2010,50-54,"5,480","2,647","2,833","4,974","2,412","2,562",36,26,10,265,128,137,93,32,61,7,4,3,105,45,60
Clallam,53009,2010,55-59,"6,093","2,854","3,239","5,661","2,655","3,006",20,17,3,211,105,106,82,23,59,5,3,2,114,51,63
Clallam,53009,2010,60-64,"5,975","2,824","3,151","5,628","2,672","2,956",22,18,4,149,63,86,82,26,56,8,3,5,86,42,44
Clallam,53009,2010,65-69,"5,255","2,509","2,746","5,018","2,396","2,622",12,8,4,112,58,54,57,18,39,7,3,4,49,26,23
Clallam,53009,2010,70-74,"3,961","2,001","1,960","3,755","1,897","1,858",10,8,2,81,41,40,53,21,32,3,2,1,59,32,27
Clallam,53009,2010,75-79,"3,021","1,430","1,591","2,910","1,384","1,526",3,1,2,45,19,26,33,12,21,1,0,1,29,14,15
Clallam,53009,2010,80-84,"2,439","1,121","1,318","2,367","1,092","1,275",4,2,2,25,10,15,23,8,15,0,0,0,20,9,11
Clallam,53009,2010,85+,"2,513",953,"1,560","2,469",938,"1,531",2,1,1,15,3,12,14,4,10,0,0,0,13,7,6
Clallam,53009,2010,Total,"71,404","35,429","35,975","63,239","31,247","31,992",652,484,168,"3,862","1,993","1,869","1,023",402,621,106,56,50,"2,522","1,247","1,275"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clark,53011,2010,0-4,"29,429","15,047","14,382","24,625","12,614","12,011",663,321,342,307,171,136,"1,106",572,534,255,132,123,"2,473","1,237","1,236"
Clark,53011,2010,5-9,"31,139","15,990","15,149","26,134","13,404","12,730",789,403,386,336,193,143,"1,295",664,631,272,129,143,"2,313","1,197","1,116"
Clark,53011,2010,10-14,"32,840","16,908","15,932","27,595","14,275","13,320",875,454,421,360,182,178,"1,396",689,707,293,142,151,"2,321","1,166","1,155"
Clark,53011,2010,15-19,"30,021","15,457","14,564","25,626","13,152","12,474",835,450,385,371,197,174,"1,177",617,560,286,158,128,"1,726",883,843
Clark,53011,2010,20-24,"24,383","12,178","12,205","21,374","10,621","10,753",633,343,290,289,158,131,870,465,405,217,104,113,"1,000",487,513
Clark,53011,2010,25-29,"26,418","12,970","13,448","23,113","11,351","11,762",641,369,272,351,183,168,"1,112",493,619,242,117,125,959,457,502
Clark,53011,2010,30-34,"28,467","13,941","14,526","24,964","12,307","12,657",610,308,302,363,183,180,"1,299",528,771,263,132,131,968,483,485
Clark,53011,2010,35-39,"29,691","14,728","14,963","25,888","12,900","12,988",645,363,282,347,180,167,"1,775",792,983,227,107,120,809,386,423
Clark,53011,2010,40-44,"29,997","15,076","14,921","26,439","13,344","13,095",687,407,280,326,152,174,"1,695",760,935,190,99,91,660,314,346
Clark,53011,2010,45-49,"31,452","15,468","15,984","28,308","14,021","14,287",660,354,306,279,125,154,"1,455",616,839,170,89,81,580,263,317
Clark,53011,2010,50-54,"30,440","15,132","15,308","27,622","13,781","13,841",579,331,248,280,132,148,"1,314",586,728,140,72,68,505,230,275
Clark,53011,2010,55-59,"28,119","13,504","14,615","25,871","12,461","13,410",470,272,198,254,110,144,"1,035",435,600,95,53,42,394,173,221
Clark,53011,2010,60-64,"24,257","11,712","12,545","22,491","10,896","11,595",355,201,154,193,96,97,848,339,509,80,41,39,290,139,151
Clark,53011,2010,65-69,"16,888","8,194","8,694","15,779","7,676","8,103",186,97,89,110,58,52,591,273,318,42,16,26,180,74,106
Clark,53011,2010,70-74,"11,194","5,388","5,806","10,459","5,009","5,450",110,67,43,62,31,31,410,201,209,25,14,11,128,66,62
Clark,53011,2010,75-79,"7,916","3,544","4,372","7,457","3,364","4,093",81,35,46,29,15,14,264,92,172,18,6,12,67,32,35
Clark,53011,2010,80-84,"6,304","2,565","3,739","6,025","2,447","3,578",48,23,25,15,10,5,161,64,97,11,1,10,44,20,24
Clark,53011,2010,85+,"6,408","2,152","4,256","6,205","2,087","4,118",44,8,36,12,6,6,112,36,76,5,4,1,30,11,19
Clark,53011,2010,Total,"425,363","209,954","215,409","375,975","185,710","190,265","8,911","4,806","4,105","4,284","2,182","2,102","17,915","8,222","9,693","2,831","1,416","1,415","15,447","7,618","7,829"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Columbia,53013,2010,0-4,216,115,101,199,106,93,0,0,0,3,2,1,3,0,3,1,0,1,10,7,3
Columbia,53013,2010,5-9,197,100,97,179,93,86,0,0,0,4,1,3,0,0,0,0,0,0,14,6,8
Columbia,53013,2010,10-14,247,116,131,231,109,122,2,1,1,4,3,1,0,0,0,1,1,0,9,2,7
Columbia,53013,2010,15-19,230,118,112,215,108,107,3,3,0,7,3,4,1,1,0,0,0,0,4,3,1
Columbia,53013,2010,20-24,158,76,82,146,70,76,0,0,0,4,3,1,3,0,3,3,1,2,2,2,0
Columbia,53013,2010,25-29,182,94,88,171,89,82,0,0,0,2,0,2,2,2,0,1,1,0,6,2,4
Columbia,53013,2010,30-34,166,92,74,158,86,72,0,0,0,6,5,1,1,1,0,0,0,0,1,0,1
Columbia,53013,2010,35-39,193,89,104,179,81,98,1,1,0,7,2,5,1,0,1,0,0,0,5,5,0
Columbia,53013,2010,40-44,229,124,105,213,119,94,0,0,0,6,3,3,2,0,2,2,0,2,6,2,4
Columbia,53013,2010,45-49,324,158,166,308,147,161,5,4,1,1,1,0,2,1,1,3,1,2,5,4,1
Columbia,53013,2010,50-54,306,154,152,293,149,144,1,1,0,8,3,5,1,0,1,1,1,0,2,0,2
Columbia,53013,2010,55-59,342,171,171,331,164,167,1,1,0,2,0,2,2,2,0,1,1,0,5,3,2
Columbia,53013,2010,60-64,351,178,173,339,173,166,0,0,0,4,0,4,3,2,1,0,0,0,5,3,2
Columbia,53013,2010,65-69,305,144,161,298,140,158,0,0,0,3,2,1,0,0,0,0,0,0,4,2,2
Columbia,53013,2010,70-74,222,119,103,220,119,101,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Columbia,53013,2010,75-79,149,68,81,145,66,79,0,0,0,1,0,1,2,1,1,1,1,0,0,0,0
Columbia,53013,2010,80-84,116,52,64,116,52,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia,53013,2010,85+,145,54,91,145,54,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia,53013,2010,Total,"4,078","2,022","2,056","3,886","1,925","1,961",13,11,2,63,28,35,23,10,13,14,7,7,79,41,38
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Cowlitz,53015,2010,0-4,"6,564","3,274","3,290","5,798","2,868","2,930",72,40,32,151,83,68,76,41,35,24,9,15,443,233,210
Cowlitz,53015,2010,5-9,"6,760","3,370","3,390","6,022","2,995","3,027",68,36,32,164,89,75,97,40,57,23,13,10,386,197,189
Cowlitz,53015,2010,10-14,"6,994","3,593","3,401","6,209","3,212","2,997",70,37,33,153,77,76,113,44,69,30,14,16,419,209,210
Cowlitz,53015,2010,15-19,"7,157","3,656","3,501","6,449","3,297","3,152",76,41,35,174,91,83,97,48,49,21,8,13,340,171,169
Cowlitz,53015,2010,20-24,"5,683","2,820","2,863","5,152","2,555","2,597",62,35,27,115,56,59,90,51,39,28,15,13,236,108,128
Cowlitz,53015,2010,25-29,"5,702","2,837","2,865","5,190","2,577","2,613",49,28,21,120,61,59,111,51,60,27,14,13,205,106,99
Cowlitz,53015,2010,30-34,"5,956","2,975","2,981","5,488","2,745","2,743",54,36,18,114,58,56,107,40,67,18,8,10,175,88,87
Cowlitz,53015,2010,35-39,"6,140","3,061","3,079","5,652","2,821","2,831",63,45,18,125,59,66,113,43,70,20,10,10,167,83,84
Cowlitz,53015,2010,40-44,"6,420","3,189","3,231","5,935","2,948","2,987",39,23,16,156,77,79,111,45,66,18,11,7,161,85,76
Cowlitz,53015,2010,45-49,"7,237","3,632","3,605","6,772","3,409","3,363",42,28,14,143,86,57,116,40,76,14,8,6,150,61,89
Cowlitz,53015,2010,50-54,"7,837","3,947","3,890","7,376","3,731","3,645",46,23,23,138,69,69,120,52,68,12,9,3,145,63,82
Cowlitz,53015,2010,55-59,"7,342","3,644","3,698","6,928","3,442","3,486",32,24,8,108,51,57,128,56,72,10,3,7,136,68,68
Cowlitz,53015,2010,60-64,"6,813","3,341","3,472","6,477","3,178","3,299",21,16,5,90,42,48,111,44,67,10,7,3,104,54,50
Cowlitz,53015,2010,65-69,"5,173","2,557","2,616","4,946","2,449","2,497",15,10,5,56,30,26,79,31,48,10,7,3,67,30,37
Cowlitz,53015,2010,70-74,"3,618","1,760","1,858","3,501","1,706","1,795",4,1,3,25,13,12,39,17,22,3,1,2,46,22,24
Cowlitz,53015,2010,75-79,"2,728","1,258","1,470","2,662","1,234","1,428",1,0,1,10,5,5,27,6,21,1,0,1,27,13,14
Cowlitz,53015,2010,80-84,"2,117",885,"1,232","2,062",863,"1,199",9,3,6,16,6,10,13,5,8,2,1,1,15,7,8
Cowlitz,53015,2010,85+,"2,169",743,"1,426","2,136",732,"1,404",1,0,1,7,2,5,9,4,5,3,2,1,13,3,10
Cowlitz,53015,2010,Total,"102,410","50,542","51,868","94,755","46,762","47,993",724,426,298,"1,865",955,910,"1,557",658,899,274,140,134,"3,235","1,601","1,634"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Douglas,53017,2010,0-4,"2,803","1,434","1,369","2,596","1,328","1,268",17,11,6,61,28,33,22,14,8,6,3,3,101,50,51
Douglas,53017,2010,5-9,"2,832","1,418","1,414","2,595","1,303","1,292",10,5,5,77,40,37,23,10,13,11,4,7,116,56,60
Douglas,53017,2010,10-14,"2,956","1,540","1,416","2,738","1,423","1,315",14,7,7,65,32,33,30,14,16,11,6,5,98,58,40
Douglas,53017,2010,15-19,"2,895","1,504","1,391","2,691","1,400","1,291",29,12,17,61,25,36,24,16,8,8,6,2,82,45,37
Douglas,53017,2010,20-24,"2,192","1,141","1,051","2,061","1,070",991,19,11,8,45,28,17,22,11,11,6,4,2,39,17,22
Douglas,53017,2010,25-29,"2,360","1,209","1,151","2,221","1,139","1,082",14,9,5,49,23,26,20,9,11,1,0,1,55,29,26
Douglas,53017,2010,30-34,"2,344","1,151","1,193","2,202","1,089","1,113",15,5,10,38,16,22,27,9,18,5,2,3,57,30,27
Douglas,53017,2010,35-39,"2,342","1,159","1,183","2,186","1,075","1,111",21,15,6,54,25,29,30,16,14,8,4,4,43,24,19
Douglas,53017,2010,40-44,"2,318","1,150","1,168","2,184","1,080","1,104",13,10,3,50,28,22,28,12,16,7,5,2,36,15,21
Douglas,53017,2010,45-49,"2,591","1,301","1,290","2,475","1,249","1,226",7,4,3,52,22,30,24,6,18,4,3,1,29,17,12
Douglas,53017,2010,50-54,"2,685","1,345","1,340","2,584","1,298","1,286",18,12,6,29,13,16,23,8,15,3,3,0,28,11,17
Douglas,53017,2010,55-59,"2,514","1,239","1,275","2,431","1,201","1,230",7,4,3,21,13,8,24,6,18,5,2,3,26,13,13
Douglas,53017,2010,60-64,"2,156","1,066","1,090","2,096","1,037","1,059",1,0,1,21,13,8,16,4,12,2,1,1,20,11,9
Douglas,53017,2010,65-69,"1,747",869,878,"1,701",852,849,5,2,3,12,5,7,12,1,11,2,1,1,15,8,7
Douglas,53017,2010,70-74,"1,291",640,651,"1,258",621,637,0,0,0,11,7,4,13,6,7,0,0,0,9,6,3
Douglas,53017,2010,75-79,"1,008",487,521,987,478,509,2,2,0,5,2,3,4,1,3,0,0,0,10,4,6
Douglas,53017,2010,80-84,701,298,403,687,292,395,0,0,0,6,3,3,2,0,2,1,1,0,5,2,3
Douglas,53017,2010,85+,696,247,449,693,246,447,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2
Douglas,53017,2010,Total,"38,431","19,198","19,233","36,386","18,181","18,205",192,109,83,658,324,334,344,143,201,80,45,35,771,396,375
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Ferry,53019,2010,0-4,388,199,189,226,118,108,2,0,2,133,65,68,7,4,3,0,0,0,20,12,8
