Area Name,Area ID,Year,Age Group,Total,Male,Female,White Total,White Male,White Female,Black Total,Black Male,Black Female,AIAN Total,AIAN Male,AIAN Female,Asian Total,Asian Male,Asian Female,NHOPI Total,NHOPI Male,NHOPI Female,Two or More Races Total,Two or More Races Male,Two or More Races Female
Walla Walla,53071,2017,35-39,"3,197","1,686","1,512","2,873","1,480","1,392",112,97,15,65,45,20,56,18,38,15,4,10,77,40,36
Walla Walla,53071,2017,40-44,"3,129","1,604","1,524","2,862","1,444","1,419",101,84,16,55,32,23,56,16,40,6,3,2,50,25,24
Walla Walla,53071,2017,45-49,"3,518","1,760","1,758","3,262","1,604","1,658",92,78,15,54,28,26,44,19,25,12,8,3,54,23,30
Walla Walla,53071,2017,50-54,"3,662","1,788","1,875","3,399","1,634","1,765",91,70,21,43,28,16,45,21,24,18,8,10,65,27,38
Walla Walla,53071,2017,55-59,"4,044","1,922","2,122","3,840","1,820","2,021",53,38,14,41,18,23,46,16,30,8,3,5,56,27,29
Walla Walla,53071,2017,60-64,"4,136","1,955","2,182","3,923","1,851","2,073",40,31,9,43,22,21,53,18,35,10,5,6,67,29,38
Walla Walla,53071,2017,65-69,"3,688","1,784","1,904","3,532","1,720","1,812",15,12,3,30,9,20,59,17,42,5,3,2,47,23,24
Walla Walla,53071,2017,70-74,"2,792","1,367","1,425","2,697","1,313","1,385",26,11,14,14,9,5,16,6,9,8,6,2,31,21,10
Walla Walla,53071,2017,75-79,"1,878",923,955,"1,811",898,913,9,4,5,15,3,12,22,10,12,5,4,1,17,5,12
Walla Walla,53071,2017,80-84,"1,393",640,752,"1,358",623,735,6,0,6,4,1,2,16,10,7,1,1,0,7,5,2
Walla Walla,53071,2017,85+,"1,810",667,"1,143","1,779",653,"1,125",7,5,2,3,0,3,14,7,7,0,0,0,8,3,6
Walla Walla,53071,2017,Total,"61,400","30,914","30,486","56,424","28,120","28,304","1,297","1,022",275,829,450,379,940,385,555,230,126,104,"1,680",812,868
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Whatcom,53073,2017,0-4,"11,653","6,013","5,640","9,310","4,778","4,532",195,104,91,555,295,260,443,230,213,27,14,13,"1,123",592,531
Whatcom,53073,2017,5-9,"12,122","6,265","5,857","9,857","5,100","4,758",165,78,87,528,281,247,492,248,244,57,25,32,"1,023",533,490
Whatcom,53073,2017,10-14,"12,237","6,299","5,938","9,986","5,187","4,799",206,95,111,599,314,284,482,224,257,43,23,20,922,456,466
Whatcom,53073,2017,15-19,"17,000","8,171","8,829","13,926","6,697","7,229",297,150,147,708,373,335,831,396,435,76,38,38,"1,162",517,645
Whatcom,53073,2017,20-24,"20,162","9,964","10,198","16,820","8,341","8,479",324,181,143,663,334,329,"1,073",500,573,89,50,39,"1,193",558,634
Whatcom,53073,2017,25-29,"13,352","7,018","6,334","11,485","6,056","5,430",211,142,69,467,235,232,551,271,280,62,34,28,576,281,295
Whatcom,53073,2017,30-34,"11,210","5,874","5,336","9,664","5,058","4,606",153,102,51,389,211,178,509,243,266,45,21,24,450,239,211
Whatcom,53073,2017,35-39,"12,129","6,224","5,905","10,395","5,319","5,075",178,129,49,462,252,209,642,293,349,45,21,24,408,209,199
Whatcom,53073,2017,40-44,"11,947","6,047","5,900","10,450","5,331","5,119",129,100,29,415,219,197,549,204,345,39,20,18,364,172,192
Whatcom,53073,2017,45-49,"13,400","6,804","6,596","11,799","6,016","5,783",156,105,51,480,256,225,577,241,336,37,20,18,351,167,185
Whatcom,53073,2017,50-54,"13,546","6,755","6,791","12,089","6,030","6,059",146,103,43,410,215,195,571,252,319,41,17,24,289,138,151
Whatcom,53073,2017,55-59,"14,585","7,166","7,419","13,183","6,520","6,663",101,73,28,367,144,223,626,281,345,33,20,12,275,127,148
Whatcom,53073,2017,60-64,"14,710","7,111","7,600","13,515","6,525","6,990",103,73,30,328,156,172,522,240,282,40,24,17,203,93,109
Whatcom,53073,2017,65-69,"13,352","6,430","6,922","12,412","5,956","6,456",64,42,22,242,123,119,431,200,231,19,10,9,184,100,84
Whatcom,53073,2017,70-74,"10,009","4,850","5,159","9,272","4,512","4,760",66,35,31,171,82,89,351,137,215,16,6,10,133,79,54
Whatcom,53073,2017,75-79,"6,282","3,038","3,244","5,914","2,880","3,034",25,17,9,106,35,71,174,76,97,5,4,2,58,27,32
Whatcom,53073,2017,80-84,"4,142","1,897","2,244","3,984","1,832","2,152",5,5,0,38,20,19,83,25,57,0,0,0,31,15,16
Whatcom,53073,2017,85+,"4,462","1,734","2,729","4,295","1,661","2,634",19,11,8,42,18,24,72,30,42,0,0,0,34,13,21
Whatcom,53073,2017,Total,"216,300","107,660","108,640","188,357","93,800","94,557","2,545","1,548",997,"6,969","3,561","3,408","8,978","4,093","4,885",673,345,328,"8,778","4,314","4,464"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Whitman,53075,2017,0-4,"2,201","1,141","1,061","1,724",874,850,52,21,31,27,20,7,208,127,81,4,4,0,187,95,93
Whitman,53075,2017,5-9,"2,136","1,103","1,033","1,745",922,823,53,35,17,21,6,15,168,74,94,0,0,0,148,65,84
Whitman,53075,2017,10-14,"1,935","1,000",935,"1,651",866,785,37,13,24,25,10,15,110,49,61,4,3,2,108,60,48
Whitman,53075,2017,15-19,"8,212","3,898","4,313","6,631","3,146","3,486",206,92,114,54,31,23,664,341,323,33,10,23,624,279,345
Whitman,53075,2017,20-24,"10,804","5,635","5,168","8,578","4,521","4,057",255,169,86,76,36,40,"1,325",649,676,39,27,12,530,233,297
